koi_id,npl,lcq_count,scq_count,total_count,runtime_score,bad_download
K01308,1,13,1,14,159,0
K01309,1,16,1,17,403,0
K01310,2,14,0,14,73,0
K01311,1,17,1,18,49,0
K01312,1,14,0,14,202,0
K01314,1,8,7,15,2252,0
K01315,1,16,1,17,595,0
K01316,2,16,2,18,1427,0
K01319,1,11,0,11,6,0
K01320,1,11,0,11,93,0
K01323,1,11,0,11,245,0
K01325,1,14,0,14,124,0
K01328,1,14,0,14,15,0
K01329,1,14,0,14,37,0
K01331,1,11,0,11,143,0
K01332,3,14,0,14,289,0
K01335,1,16,1,17,29,0
K01336,4,13,1,14,1566,0
K01337,1,17,0,17,785,0
K01338,3,16,1,17,1553,0
K01339,1,17,0,17,362,0
K01341,1,17,0,17,334,0
K01342,2,14,0,14,481,0
K01344,1,17,1,18,929,0
K01353,3,10,7,17,763,0
K01355,1,16,1,17,78,0
K01357,1,14,0,14,412,0
K01358,4,13,4,17,11711,0
K01359,2,13,1,14,135,0
K01360,3,17,0,17,2121,0
K01361,1,12,5,17,238,0
K01362,1,14,0,14,60,0
K01363,2,15,2,17,3048,0
K01364,5,9,6,15,15573,0
K01366,2,17,0,17,105,0
K01367,1,14,3,17,16279,0
K01369,1,17,0,17,501,0
K01370,1,17,0,17,219,0
K01375,1,16,1,17,10,0
K01377,1,17,0,17,133,0
K01379,1,16,1,17,725,0
K01393,1,14,0,14,734,0
K01395,1,16,0,16,228,0
K01396,2,16,0,16,598,0
K01397,1,18,0,18,256,0
K01398,1,14,0,14,213,0
K01399,1,14,0,14,142,0
K01402,1,17,0,17,211,0
K01403,1,17,0,17,80,0
K01404,2,17,0,17,192,0
K01405,1,16,0,16,124,0
K01406,1,17,0,17,133,0
K01408,1,14,3,17,630,0
K01409,1,17,0,17,91,0
