koi_id,Teff,Teff_err1,Teff_err2,logg,logg_err1,logg_err2,FeH,FeH_err1,FeH_err2
K02081,5295.00,184.00,-184.00,3.617,0.840,-0.210,0.0200,0.3000,-0.3000
K02082,5866.00,105.00,-117.00,4.175,0.182,-0.098,0.0000,0.1500,-0.1500
K02083,5887.00,105.00,-129.00,4.290,0.138,-0.113,-0.0600,0.1500,-0.1500
K02084,5229.00,183.00,-183.00,4.378,0.160,-0.240,0.3200,0.1500,-0.2500
K02086,5862.00,105.00,-117.00,4.194,0.182,-0.098,-0.1000,0.1500,-0.1500
K02087,5865.00,105.00,-117.00,4.393,0.080,-0.120,0.0700,0.1500,-0.1500
K02090,3879.00,77.00,-77.00,4.707,0.018,-0.036,0.3200,0.1500,-0.1500
K02091,5191.00,155.00,-155.00,4.597,0.030,-0.090,-0.0600,0.3000,-0.3000
K02092,6228.00,196.00,-261.00,4.441,0.065,-0.195,-0.0800,0.2500,-0.3000
K02093,5096.00,77.00,-46.00,2.435,0.117,-0.143,-1.5200,0.1500,-0.1500
K02094,5330.00,79.00,-79.00,4.366,0.137,-0.125,0.1800,0.1500,-0.1000
K02095,5806.00,69.00,-87.00,4.400,0.066,-0.123,0.1600,0.1500,-0.1500
K02096,5052.00,151.00,-151.00,4.503,0.088,-0.072,0.0200,0.2500,-0.3000
K02097,6250.00,169.00,-225.00,4.440,0.070,-0.224,-0.2200,0.2500,-0.3000
K02098,6429.00,181.00,-227.00,4.241,0.180,-0.180,-0.4600,0.3000,-0.3000
K02099,5779.00,78.00,-78.00,4.238,0.143,-0.117,0.1600,0.1500,-0.1500
K02100,5984.00,161.00,-197.00,4.521,0.052,-0.208,-0.2000,0.3000,-0.3000
